second,para,question,br,tl
0,0,0,24847,
1,0,0,24847,
2,0,0,23877,
3,0,0,23877,
4,0,0,23903,
5,0,0,23903,
6,0,0,23870,
7,0,0,23870,
8,0,0,23763,
9,0,0,23763,
10,0,0,23682,
11,0,0,23682,
12,0,0,23717,
13,0,0,23717,
14,0,1,1449,Proverbios
15,0,1,1449,Proverbios
16,0,1,1449,Proverbios
17,0,1,1449,Proverbios
18,0,1,1449,Proverbios
19,0,1,1449,Proverbios
20,0,1,1449,Proverbios
21,0,1,1449,Proverbios
22,0,1,1449,Proverbios
23,0,1,1449,Proverbios
24,1,0,1451,1
25,1,0,1451,1
26,1,0,1451,1
27,1,0,1451,1
28,1,0,1451,1
29,1,0,1451,1
30,1,0,1451,1
31,1,0,1451,1
32,1,0,1451,1
33,1,0,1451,1
34,1,0,1451,1
35,1,0,1451,1
36,1,0,1451,1
37,1,0,1451,1
38,1,0,1451,1
39,1,0,1451,1
40,1,0,1451,1
41,1,0,1451,1
42,1,0,1451,1
43,1,0,1451,1
44,1,0,1451,1
45,1,0,1451,1
46,1,0,1451,1
47,1,0,1451,1
48,1,0,1451,1
49,1,0,1451,1
50,1,0,1451,1
51,1,0,1451,1
52,1,0,7862,1
53,1,0,7862,1
54,1,0,7950,1
55,1,0,7950,1
56,2,0,1451,2
57,2,0,1451,2
58,2,0,1451,2
59,2,0,1451,2
60,2,0,1451,2
61,2,0,1451,2
62,2,0,1451,2
63,2,0,1451,2
64,2,0,1451,2
65,2,0,1451,2
66,2,0,1451,2
67,2,0,1451,2
68,2,0,1451,2
69,2,0,1451,2
70,2,0,1451,2
71,2,0,1451,2
72,2,0,1451,2
73,2,0,1451,2
74,2,0,1451,2
75,2,0,1451,2
76,2,0,1451,2
77,2,0,1451,2
78,2,0,1451,2
79,2,0,1451,2
80,2,0,1451,2
81,2,0,1451,2
82,2,0,1451,2
83,2,0,1451,2
84,2,0,1700,2
85,2,0,1700,2
86,2,0,1451,2
87,2,0,1451,2
88,2,0,1451,2
89,2,0,1451,2
90,2,0,7883,2
91,2,0,7883,2
92,2,0,7930,2
93,2,0,7930,2
94,0,0,1452,
95,0,0,1452,
96,0,0,1821,
97,0,0,1821,
98,0,0,3282,
99,0,0,3282,
100,0,0,3695,
101,0,0,3695,
102,0,0,1451,
103,0,0,1451,
104,0,0,1451,
105,0,0,1451,
106,0,0,1451,
107,0,0,1451,
108,0,0,1451,
109,0,0,1451,
110,0,0,1451,
111,0,0,1451,
112,0,0,1451,
113,0,0,1451,
114,0,0,1451,
115,0,0,1451,
116,0,0,1451,
117,0,0,1451,
118,4,0,1451,4
119,4,0,1451,4
120,4,0,1451,4
121,4,0,1451,4
122,4,0,1451,4
123,4,0,1451,4
124,4,0,1451,4
125,4,0,1451,4
126,4,0,1451,4
127,4,0,1451,4
128,4,0,1451,4
129,4,0,1451,4
130,4,0,1451,4
131,4,0,1451,4
132,4,0,1451,4
133,4,0,1451,4
134,4,0,1451,4
135,4,0,1451,4
136,0,0,1451,
137,0,0,1451,
138,0,0,7940,3;4
139,0,0,7940,3;4
140,0,0,7868,3;4
141,0,0,7868,3;4
142,0,0,1451,
143,0,0,1451,
144,0,0,1451,
145,0,0,1451,
146,0,0,1451,
147,0,0,1451,
148,0,0,1451,
149,0,0,1451,
150,0,0,1451,
151,0,0,1451,
152,0,0,1451,
153,0,0,1451,
154,0,0,1451,
155,0,0,1451,
156,0,0,1451,
157,0,0,1451,
158,0,0,1451,
159,0,0,1451,
160,0,0,1451,
161,0,0,1451,
162,0,0,1451,
163,0,0,1451,
164,0,0,1451,
165,0,0,1451,
166,0,0,1451,
167,0,0,1451,
168,0,0,1451,
169,0,0,1451,
170,0,0,1451,
