second,hasIcon,score,pngBytes,lightRatio
0.0,0,6975.9,11194,0.0649
0.5,0,6969.9,11184,0.0649
1.0,0,7015.7,11260,0.0649
1.5,0,6999.1,11232,0.0650
2.0,0,6770.5,10852,0.0648
2.5,0,6776.5,10862,0.0648
3.0,0,6776.5,10862,0.0648
3.5,0,6776.5,10862,0.0648
4.0,0,6769.5,10850,0.0649
4.5,0,6791.7,10887,0.0649
5.0,0,6791.7,10887,0.0649
5.5,0,6791.7,10887,0.0649
6.0,0,6783.1,10872,0.0650
6.5,0,6786.1,10877,0.0650
7.0,0,6796.3,10894,0.0650
7.5,0,6796.3,10894,0.0650
8.0,0,6773.2,10855,0.0651
8.5,0,6780.4,10867,0.0651
9.0,0,6780.4,10867,0.0651
9.5,0,6780.4,10867,0.0651
10.0,0,6785.9,10877,0.0649
10.5,0,6781.1,10869,0.0649
11.0,0,6781.1,10869,0.0649
11.5,0,6781.1,10869,0.0649
12.0,0,6717.1,10763,0.0648
12.5,0,6704.5,10742,0.0648
13.0,0,6704.5,10742,0.0648
13.5,0,6736.1,10794,0.0649
14.0,0,590.4,984,0.0000
14.5,0,590.4,984,0.0000
15.0,0,590.4,984,0.0000
15.5,0,590.4,984,0.0000
16.0,0,590.4,984,0.0000
16.5,0,590.4,984,0.0000
17.0,0,590.4,984,0.0000
17.5,0,590.4,984,0.0000
18.0,0,590.4,984,0.0000
18.5,0,590.4,984,0.0000
19.0,0,590.4,984,0.0000
19.5,0,590.4,984,0.0000
20.0,0,590.4,984,0.0000
20.5,0,590.4,984,0.0000
21.0,0,590.4,984,0.0000
21.5,0,590.4,984,0.0000
22.0,0,590.4,984,0.0000
22.5,0,591.6,986,0.0000
23.0,0,592.2,987,0.0000
23.5,0,591.6,986,0.0000
24.0,0,591.6,986,0.0000
24.5,0,591.6,986,0.0000
25.0,0,591.6,986,0.0000
25.5,0,591.6,986,0.0000
26.0,0,591.6,986,0.0000
26.5,0,591.6,986,0.0000
27.0,0,591.6,986,0.0000
27.5,0,591.6,986,0.0000
28.0,0,591.6,986,0.0000
28.5,0,591.6,986,0.0000
29.0,0,591.6,986,0.0000
29.5,0,591.6,986,0.0000
30.0,0,591.6,986,0.0000
30.5,0,591.6,986,0.0000
31.0,0,591.6,986,0.0000
31.5,0,591.6,986,0.0000
32.0,0,591.6,986,0.0000
32.5,0,591.6,986,0.0000
33.0,0,591.6,986,0.0000
33.5,0,591.6,986,0.0000
34.0,0,591.6,986,0.0000
34.5,0,591.6,986,0.0000
35.0,0,591.6,986,0.0000
35.5,0,591.6,986,0.0000
36.0,0,591.6,986,0.0000
36.5,0,591.6,986,0.0000
37.0,0,591.6,986,0.0000
37.5,0,591.6,986,0.0000
38.0,0,591.6,986,0.0000
38.5,0,591.6,986,0.0000
39.0,0,591.6,986,0.0000
39.5,0,591.6,986,0.0000
40.0,0,591.6,986,0.0000
40.5,0,591.6,986,0.0000
41.0,0,591.6,986,0.0000
41.5,0,591.6,986,0.0000
42.0,0,591.6,986,0.0000
42.5,0,591.6,986,0.0000
43.0,0,591.6,986,0.0000
43.5,0,591.6,986,0.0000
44.0,0,591.6,986,0.0000
44.5,0,591.6,986,0.0000
45.0,0,591.6,986,0.0000
45.5,0,591.6,986,0.0000
46.0,0,591.6,986,0.0000
46.5,0,591.6,986,0.0000
47.0,0,591.6,986,0.0000
47.5,0,591.6,986,0.0000
48.0,0,591.6,986,0.0000
48.5,0,591.6,986,0.0000
49.0,0,591.6,986,0.0000
49.5,0,591.6,986,0.0000
50.0,0,591.6,986,0.0000
50.5,0,591.6,986,0.0000
51.0,0,591.6,986,0.0000
51.5,1,4758.4,7039,0.1337
52.0,1,4758.4,7039,0.1337
52.5,1,4732.4,6992,0.1343
53.0,1,4732.4,6992,0.1343
53.5,1,4753.4,7027,0.1343
54.0,1,4752.8,7026,0.1343
54.5,0,591.6,986,0.0000
55.0,0,591.6,986,0.0000
55.5,0,591.6,986,0.0000
56.0,0,591.6,986,0.0000
56.5,0,591.6,986,0.0000
57.0,0,591.6,986,0.0000
57.5,0,591.6,986,0.0000
58.0,0,591.6,986,0.0000
58.5,0,591.6,986,0.0000
59.0,0,591.6,986,0.0000
59.5,0,591.6,986,0.0000
60.0,0,591.6,986,0.0000
60.5,0,591.6,986,0.0000
61.0,0,591.6,986,0.0000
61.5,0,591.6,986,0.0000
62.0,0,591.6,986,0.0000
62.5,0,591.6,986,0.0000
63.0,0,591.6,986,0.0000
63.5,0,591.6,986,0.0000
64.0,0,591.6,986,0.0000
64.5,0,591.6,986,0.0000
65.0,0,591.6,986,0.0000
65.5,0,591.6,986,0.0000
66.0,0,591.6,986,0.0000
66.5,0,591.6,986,0.0000
67.0,0,591.6,986,0.0000
67.5,0,591.6,986,0.0000
68.0,0,591.6,986,0.0000
68.5,0,591.6,986,0.0000
69.0,0,591.6,986,0.0000
69.5,0,591.6,986,0.0000
70.0,0,591.6,986,0.0000
70.5,0,591.6,986,0.0000
71.0,0,591.6,986,0.0000
71.5,0,591.6,986,0.0000
72.0,0,591.6,986,0.0000
72.5,0,591.6,986,0.0000
73.0,0,591.6,986,0.0000
73.5,0,591.6,986,0.0000
74.0,0,591.6,986,0.0000
74.5,0,591.6,986,0.0000
75.0,0,591.6,986,0.0000
75.5,0,591.6,986,0.0000
76.0,0,591.6,986,0.0000
76.5,0,591.6,986,0.0000
77.0,0,591.6,986,0.0000
77.5,0,591.6,986,0.0000
78.0,0,591.6,986,0.0000
78.5,0,591.6,986,0.0000
79.0,0,591.6,986,0.0000
79.5,0,591.6,986,0.0000
80.0,0,591.6,986,0.0000
